State/UT,Deposit in PMJDY Accounts
Andaman & Nicobar Islands,23.76
Andhra Pradesh,1981.73
Arunachal Pradesh,118.07
Assam,3519.4
Bihar,9888.03
Chandigarh,105.1
Chhattisgarh,3214.06
Dadra & Nagar Haveli,49.67
Daman & Diu,18.89
Delhi,1783.14
Goa,90.79
Gujarat,4264.1
Haryana,3253.33
Himachal Pradesh,592.18
Jammu & Kashmir,949.45
Jharkhand,3194.51
Karnataka,3639.04
Kerala,1295.84
Lakshadweep,8.38
Madhya Pradesh,5134.27
Maharashtra,6058.64
Manipur,201.56
Meghalaya,244.02
Mizoram,88.03
Nagaland,54.79
Odisha,4494.46
Puducherry,39.52
Punjab,2555.18
Rajasthan,7541.72
Sikkim,39.66
Tamil Nadu,1937.1
Telangana,1694.2
Tripura,682.05
Uttar Pradesh,18235.1
Uttarakhand,1108.46
West Bengal,12397.7
Total,100495.95
