S.No,State/UT,Numbers of IHHL Constructed Upto 30.11.2018,Numbers Community/Public Toilets Constructed Upto 30.11.2018,Numbers of Towns Declared ODF Upto 30.11.2018,Funds released by Central Government for Toilets Upto 17.12.2018 [Rs. in Crores]
1,Andhra Pradesh,237013,14583,110,112.32
2,Andaman & Nicobar Islands,336,601,1,1
3,Arunachal Pradesh,5611,46,13,8
4,Assam,17238,1492,66,42.11
5,Bihar,264331,7064,135,185.24
6,Chandigarh,6117,2441,1,1.72
7,Chhattisgarh,325050,22437,168,179.76
8,Daman & Diu,675,397,2,0
9,Dadra & Nagar Haveli,1179,85,1,0.74
10,NCT of Delhi,458,19202,5,30.23
11,Goa,1293,216,0,2.58
12,Gujarat,560046,21781,171,185.54
13,Haryana,60638,10122,81,57.06
14,Himachal Pradesh,2140,1347,58,5.71
15,Jammu & Kashmir,32727,1759,77,51.54
16,Jharkhand,213378,7325,41,75.47
17,Karnataka,285899,27222,280,198.83
18,Kerala,37207,2546,92,31.67
19,Madhya Pradesh,501949,26619,383,328.24
20,Maharashtra,682230,106134,391,362.78
21,Manipur,12323,380,27,28.06
22,Meghalaya,1037,142,2,2.74
23,Mizoram,2972,160,23,1.3
24,Nagaland,9300,165,5,5.67
25,Odisha,92596,6129,56,103.56
26,Puducherry,3825,280,1,5.66
27,Punjab,97400,10508,170,56.95
28,Rajasthan,345889,19997,193,207.43
29,Sikkim,1066,108,7,0.41
30,Tamil Nadu,453315,84641,666,259.14
31,Telangana,147429,4888,71,68.25
32,Tripura,613,110,5,7.78
33,Uttar Pradesh,664836,40029,649,450.82
34,Uttarakhand,14088,4316,99,30.13
35,West Bengal,282542,299,73,175.41
Total,Total,5364746,445571,4123,3263.85
